experiment,model,feature,training_time_seconds,inference_time_seconds,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
logistic_regression__bow,logistic_regression,bow,0.26110267639160156,0.030787944793701172,0.9586507072905331,0.9587050201252633,0.9586507072905331,0.9586494832665512,0.9587050201252634,0.9586507072905333,0.9586494832665511
linear_svm__tfidf,linear_svm,tfidf,0.39664387702941895,0.04838085174560547,0.9581066376496191,0.9581332177636316,0.9581066376496191,0.9581060299953081,0.9581332177636315,0.9581066376496191,0.9581060299953081
linear_svm__ngram,linear_svm,ngram,0.599597692489624,0.05754566192626953,0.9537540805223068,0.9537546177891446,0.9537540805223068,0.9537540668329662,0.9537546177891447,0.9537540805223068,0.9537540668329662
logistic_regression__tfidf,logistic_regression,tfidf,0.41851043701171875,0.052488088607788086,0.9510337323177367,0.9510529587638021,0.9510337323177367,0.9510332105068723,0.9510529587638021,0.9510337323177367,0.9510332105068723
logistic_regression__ngram,logistic_regression,ngram,0.618859052658081,0.05798959732055664,0.9510337323177367,0.9510529587638021,0.9510337323177367,0.9510332105068723,0.9510529587638021,0.9510337323177367,0.9510332105068723
linear_svm__bow,linear_svm,bow,0.19777321815490723,0.03727912902832031,0.9510337323177367,0.9512923583985822,0.9510337323177367,0.9510267159300838,0.9512923583985822,0.9510337323177367,0.9510267159300838
multinomial_nb__tfidf,multinomial_nb,tfidf,0.39000701904296875,0.05842399597167969,0.9450489662676823,0.9450537089486497,0.9450489662676823,0.9450488198719154,0.9450537089486497,0.9450489662676822,0.9450488198719154
multinomial_nb__bow,multinomial_nb,bow,0.17183494567871094,0.03442978858947754,0.9450489662676823,0.94516756362396,0.9450489662676823,0.9450453061394858,0.94516756362396,0.9450489662676822,0.9450453061394859
multinomial_nb__ngram,multinomial_nb,ngram,0.5739469528198242,0.05950522422790527,0.9439608269858542,0.9439613526570048,0.9439608269858542,0.9439608103975943,0.9439613526570048,0.9439608269858542,0.9439608103975943
