experiment,model,feature,best_cv_f1_macro,best_params,cv_tuning_time_seconds
logistic_regression__bow,logistic_regression,bow,0.9471940221988135,"{'model__C': 1.0, 'model__class_weight': None}",1.1878836154937744
linear_svm__tfidf,linear_svm,tfidf,0.9455601756281281,"{'model__C': 0.5, 'model__class_weight': None}",1.7941932678222656
linear_svm__ngram,linear_svm,ngram,0.9451526450399926,"{'model__C': 0.5, 'model__class_weight': None}",2.3031041622161865
logistic_regression__tfidf,logistic_regression,tfidf,0.9451520181914828,"{'model__C': 4.0, 'model__class_weight': None}",2.031256675720215
linear_svm__bow,linear_svm,bow,0.944197857828217,"{'model__C': 0.5, 'model__class_weight': None}",6.935029029846191
logistic_regression__ngram,logistic_regression,ngram,0.944061885140138,"{'model__C': 4.0, 'model__class_weight': None}",2.5561330318450928
multinomial_nb__bow,multinomial_nb,bow,0.9439288725598779,{'model__alpha': 0.4},0.7728047370910645
multinomial_nb__ngram,multinomial_nb,ngram,0.9375318243662427,{'model__alpha': 0.8},1.8831446170806885
multinomial_nb__tfidf,multinomial_nb,tfidf,0.937393900103598,{'model__alpha': 1.0},1.2740962505340576
